County,None,D0,D1,D2,D3,D4,ValidStart
Santa Barbara County,0.0,100.0,75.39,43.49,1.12,0.0,2025-03-04
Santa Barbara County,0.0,100.0,75.39,43.49,1.12,0.0,2025-02-25
Santa Barbara County,0.0,100.0,75.39,43.49,1.12,0.0,2025-02-18
Santa Barbara County,0.0,100.0,100.0,75.39,32.22,0.0,2025-02-11
Santa Barbara County,0.0,100.0,100.0,75.39,32.22,0.0,2025-02-04
Santa Barbara County,0.0,100.0,100.0,39.34,0.0,0.0,2025-01-28
Santa Barbara County,0.0,100.0,80.17,39.34,0.0,0.0,2025-01-21
Santa Barbara County,0.0,100.0,46.66,0.04,0.0,0.0,2025-01-14
Santa Barbara County,0.0,100.0,46.66,0.04,0.0,0.0,2025-01-07
Santa Barbara County,0.0,100.0,0.04,0.0,0.0,0.0,2024-12-31
Santa Barbara County,39.09,60.91,0.0,0.0,0.0,0.0,2024-12-24
Santa Barbara County,39.09,60.91,0.0,0.0,0.0,0.0,2024-12-17
Santa Barbara County,38.21,61.79,0.0,0.0,0.0,0.0,2024-12-10
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-19
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-12
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-05
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-29
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-22
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-15
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-08
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-01
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-24
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-17
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-10
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-03
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-27
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-20
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Santa Barbara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
