County,None,D0,D1,D2,D3,D4,ValidStart
Santa Clara County,84.34,15.66,0.0,0.0,0.0,0.0,2025-03-04
Santa Clara County,84.34,15.66,0.0,0.0,0.0,0.0,2025-02-25
Santa Clara County,84.34,15.66,0.0,0.0,0.0,0.0,2025-02-18
Santa Clara County,12.25,87.75,0.0,0.0,0.0,0.0,2025-02-11
Santa Clara County,12.25,87.75,0.0,0.0,0.0,0.0,2025-02-04
Santa Clara County,12.25,87.75,0.0,0.0,0.0,0.0,2025-01-28
Santa Clara County,12.25,87.75,0.0,0.0,0.0,0.0,2025-01-21
Santa Clara County,43.7,56.3,0.0,0.0,0.0,0.0,2025-01-14
Santa Clara County,43.7,56.3,0.0,0.0,0.0,0.0,2025-01-07
Santa Clara County,43.7,56.3,0.0,0.0,0.0,0.0,2024-12-31
Santa Clara County,43.74,56.26,0.0,0.0,0.0,0.0,2024-12-24
Santa Clara County,43.74,56.26,0.0,0.0,0.0,0.0,2024-12-17
Santa Clara County,43.87,56.13,0.0,0.0,0.0,0.0,2024-12-10
Santa Clara County,43.87,56.13,0.0,0.0,0.0,0.0,2024-12-03
Santa Clara County,43.87,56.13,0.0,0.0,0.0,0.0,2024-11-26
Santa Clara County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Santa Clara County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Santa Clara County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Santa Clara County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Santa Clara County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Santa Clara County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Santa Clara County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Santa Clara County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Santa Clara County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Santa Clara County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Santa Clara County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-03
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-27
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-20
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-28
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-21
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-14
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-07
Santa Clara County,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-31
