County,None,D0,D1,D2,D3,D4,ValidStart
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2025-03-04
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-25
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-18
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-11
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-04
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-28
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-21
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-14
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-07
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-31
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-24
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-17
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-10
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
Shasta County,0.07,99.93,0.0,0.0,0.0,0.0,2024-11-19
Shasta County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Shasta County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Shasta County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Shasta County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Shasta County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Shasta County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Shasta County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Shasta County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Shasta County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Shasta County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Shasta County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-03
Shasta County,0.0,100.0,10.37,0.0,0.0,0.0,2024-08-27
Shasta County,0.0,100.0,10.37,0.0,0.0,0.0,2024-08-20
Shasta County,15.06,84.94,0.0,0.0,0.0,0.0,2024-08-13
Shasta County,14.92,85.08,0.0,0.0,0.0,0.0,2024-08-06
Shasta County,13.87,86.13,0.0,0.0,0.0,0.0,2024-07-30
Shasta County,13.92,86.08,0.0,0.0,0.0,0.0,2024-07-23
Shasta County,13.92,86.08,0.0,0.0,0.0,0.0,2024-07-16
Shasta County,13.33,86.67,0.0,0.0,0.0,0.0,2024-07-09
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Shasta County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
