County,None,D0,D1,D2,D3,D4,ValidStart
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2025-03-04
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-25
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-18
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-11
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-04
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-28
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-21
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-14
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-07
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-31
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-24
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-17
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-10
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
Sutter County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Sutter County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Sutter County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Sutter County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Sutter County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Sutter County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Sutter County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Sutter County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Sutter County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Sutter County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Sutter County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Sutter County,68.94,31.06,0.0,0.0,0.0,0.0,2024-09-03
Sutter County,68.94,31.06,0.0,0.0,0.0,0.0,2024-08-27
Sutter County,66.53,33.47,0.0,0.0,0.0,0.0,2024-08-20
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Sutter County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
