County,None,D0,D1,D2,D3,D4,ValidStart
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2025-03-04
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-25
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-18
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-11
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-04
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-28
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-21
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-14
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-07
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-31
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-24
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-17
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-10
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
Trinity County,59.59,40.41,0.0,0.0,0.0,0.0,2024-11-19
Trinity County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Trinity County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Trinity County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Trinity County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Trinity County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Trinity County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Trinity County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Trinity County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Trinity County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Trinity County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Trinity County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-03
Trinity County,0.0,100.0,5.91,0.0,0.0,0.0,2024-08-27
Trinity County,0.0,100.0,5.91,0.0,0.0,0.0,2024-08-20
Trinity County,72.32,27.68,0.0,0.0,0.0,0.0,2024-08-13
Trinity County,72.15,27.85,0.0,0.0,0.0,0.0,2024-08-06
Trinity County,70.35,29.65,0.0,0.0,0.0,0.0,2024-07-30
Trinity County,70.41,29.59,0.0,0.0,0.0,0.0,2024-07-23
Trinity County,70.41,29.59,0.0,0.0,0.0,0.0,2024-07-16
Trinity County,75.5,24.5,0.0,0.0,0.0,0.0,2024-07-09
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Trinity County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
