County,None,D0,D1,D2,D3,D4,ValidStart
Tulare County,0.0,100.0,28.01,0.0,0.0,0.0,2025-03-04
Tulare County,0.0,100.0,28.01,0.0,0.0,0.0,2025-02-25
Tulare County,0.0,100.0,28.01,0.0,0.0,0.0,2025-02-18
Tulare County,0.0,100.0,100.0,0.0,0.0,0.0,2025-02-11
Tulare County,0.0,100.0,100.0,0.0,0.0,0.0,2025-02-04
Tulare County,0.0,100.0,100.0,0.0,0.0,0.0,2025-01-28
Tulare County,0.0,100.0,3.59,0.0,0.0,0.0,2025-01-21
Tulare County,20.89,79.11,0.37,0.0,0.0,0.0,2025-01-14
Tulare County,20.89,79.11,0.37,0.0,0.0,0.0,2025-01-07
Tulare County,23.48,76.52,0.37,0.0,0.0,0.0,2024-12-31
Tulare County,26.04,73.96,0.37,0.0,0.0,0.0,2024-12-24
Tulare County,26.04,73.96,0.37,0.0,0.0,0.0,2024-12-17
Tulare County,26.65,73.35,0.37,0.0,0.0,0.0,2024-12-10
Tulare County,29.41,70.59,0.37,0.0,0.0,0.0,2024-12-03
Tulare County,29.41,70.59,0.37,0.0,0.0,0.0,2024-11-26
Tulare County,29.36,70.64,0.37,0.0,0.0,0.0,2024-11-19
Tulare County,29.23,70.77,0.37,0.0,0.0,0.0,2024-11-12
Tulare County,29.04,70.96,0.0,0.0,0.0,0.0,2024-11-05
Tulare County,29.87,70.13,0.0,0.0,0.0,0.0,2024-10-29
Tulare County,30.56,69.44,0.0,0.0,0.0,0.0,2024-10-22
Tulare County,30.56,69.44,0.0,0.0,0.0,0.0,2024-10-15
Tulare County,30.56,69.44,0.0,0.0,0.0,0.0,2024-10-08
Tulare County,69.7,30.3,0.0,0.0,0.0,0.0,2024-10-01
Tulare County,70.2,29.8,0.0,0.0,0.0,0.0,2024-09-24
Tulare County,70.2,29.8,0.0,0.0,0.0,0.0,2024-09-17
Tulare County,70.2,29.8,0.0,0.0,0.0,0.0,2024-09-10
Tulare County,70.24,29.76,0.0,0.0,0.0,0.0,2024-09-03
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-27
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-20
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
Tulare County,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
