County,None,D0,D1,D2,D3,D4,ValidStart
Tuolumne County,60.69,39.31,0.0,0.0,0.0,0.0,2025-03-04
Tuolumne County,60.69,39.31,0.0,0.0,0.0,0.0,2025-02-25
Tuolumne County,60.69,39.31,0.0,0.0,0.0,0.0,2025-02-18
Tuolumne County,0.0,100.0,16.29,0.0,0.0,0.0,2025-02-11
Tuolumne County,0.0,100.0,16.29,0.0,0.0,0.0,2025-02-04
Tuolumne County,0.0,100.0,16.29,0.0,0.0,0.0,2025-01-28
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-21
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-14
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2025-01-07
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-31
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-24
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-17
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-10
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-12-03
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-26
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
Tuolumne County,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
Tuolumne County,70.39,29.61,0.0,0.0,0.0,0.0,2024-09-03
