County,None,D0,D1,D2,D3,D4,ValidStart
Ventura County,0.0,100.0,100.0,95.9,14.73,0.0,2025-03-04
Ventura County,0.0,100.0,100.0,95.9,14.73,0.0,2025-02-25
Ventura County,0.0,100.0,100.0,95.9,14.73,0.0,2025-02-18
Ventura County,0.0,100.0,100.0,98.75,95.97,0.0,2025-02-11
Ventura County,0.0,100.0,100.0,98.75,95.97,0.0,2025-02-04
Ventura County,0.0,100.0,100.0,95.6,0.0,0.0,2025-01-28
Ventura County,0.0,100.0,100.0,95.6,0.0,0.0,2025-01-21
Ventura County,0.0,100.0,100.0,4.73,0.0,0.0,2025-01-14
Ventura County,0.0,100.0,100.0,3.14,0.0,0.0,2025-01-07
Ventura County,0.0,100.0,4.87,0.0,0.0,0.0,2024-12-31
Ventura County,1.7,98.3,0.0,0.0,0.0,0.0,2024-12-24
Ventura County,1.7,98.3,0.0,0.0,0.0,0.0,2024-12-17
Ventura County,1.48,98.52,0.0,0.0,0.0,0.0,2024-12-10
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-19
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-12
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-05
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-29
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-22
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-15
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-08
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-10-01
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-24
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-17
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-10
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-09-03
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-27
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-20
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
Ventura County,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
