County,None,D0,D1,D2,D3,D4,Date
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2025-03-04
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-25
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-18
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-11
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2025-02-04
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-28
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-21
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-14
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2025-01-07
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-31
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-24
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-17
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-10
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-12-03
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-11-26
sonoma ,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-19
sonoma ,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-12
sonoma ,0.0,100.0,0.0,0.0,0.0,0.0,2024-11-05
sonoma ,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-29
sonoma ,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-22
sonoma ,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-15
sonoma ,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-08
sonoma ,0.0,100.0,0.0,0.0,0.0,0.0,2024-10-01
sonoma ,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-24
sonoma ,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-17
sonoma ,0.0,100.0,0.0,0.0,0.0,0.0,2024-09-10
sonoma ,31.37,68.63,0.0,0.0,0.0,0.0,2024-09-03
sonoma ,31.37,68.63,0.0,0.0,0.0,0.0,2024-08-27
sonoma ,30.02,69.98,0.0,0.0,0.0,0.0,2024-08-20
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-13
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-08-06
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-30
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-23
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-16
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-09
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-07-02
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-25
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-18
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-11
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-06-04
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-28
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-21
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-14
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-05-07
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-30
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-23
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-16
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-09
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-04-02
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-26
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-19
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-12
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-03-05
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-27
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-20
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-13
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-02-06
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-30
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-23
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-16
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-09
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2024-01-02
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-26
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-19
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-12
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-12-05
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-28
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-21
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-14
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-07
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-31
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-24
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-17
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-10
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-10-03
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-26
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-19
sonoma ,100.0,0.0,0.0,0.0,0.0,0.0,2023-09-12
