County,Population,Density,Land Area (mi),Year
Los Angeles County,9606925,2366.237684729064,4060,2024
San Diego County,3262770,775.0047505938243,4210,2024
Orange County,3121138,3935.861286254729,793,2024
Riverside County,2510643,348.2650853100291,7209,2024
San Bernardino County,2196314,109.44359178792106,20068,2024
Santa Clara County,1876849,1453.7947327652982,1291,2024
Alameda County,1616117,2192.831750339213,737,2024
Sacramento County,1584196,1641.6538860103626,965,2024
Contra Costa County,1153031,1608.1324965132496,717,2024
Fresno County,1018965,171.02467270896273,5958,2024
Kern County,910889,111.9716041794714,8135,2024
Ventura County,826309,448.8370450841934,1841,2024
San Francisco County,810202,17238.340425531915,47,2024
San Joaquin County,807637,580.1989942528736,1392,2024
San Mateo County,723777,1611.9755011135858,449,2024
Stanislaus County,551634,368.73930481283423,1496,2024
Tulare County,481052,99.72056384742952,4824,2024
Sonoma County,480955,305.36825396825395,1575,2024
Solano County,449551,546.8990267639903,822,2024
Santa Barbara County,438599,160.4239209948793,2734,2024
Placer County,429048,304.9381663113006,1407,2024
Monterey County,428562,130.57952468007312,3282,2024
Merced County,293630,151.51186790505676,1938,2024
San Luis Obispo County,281232,85.19600121175401,3301,2024
Santa Cruz County,258854,581.6943820224719,445,2024
Marin County,252660,485.88461538461536,520,2024
Yolo County,219070,216.25863770977296,1013,2024
Butte County,206975,126.51283618581908,1636,2024
El Dorado County,191643,112.20316159250584,1708,2024
Shasta County,179795,47.61520127118644,3776,2024
Imperial County,179174,42.905651340996165,4176,2024
Madera County,165387,77.39213851193261,2137,2024
Kings County,152377,109.5449317038102,1391,2024
Humboldt County,133026,37.283071748878925,3568,2024
Napa County,132062,175.61436170212767,752,2024
Nevada County,101673,106.1304801670146,958,2024
Sutter County,97327,161.40464344941958,603,2024
Mendocino County,88209,25.152266894781864,3507,2024
Yuba County,87091,137.8022151898734,632,2024
San Benito County,68707,49.46508279337653,1389,2024
Lake County,67584,53.85179282868526,1255,2024
Tehama County,64493,21.869447270261105,2949,2024
Tuolumne County,53821,24.232778027915355,2221,2024
Calaveras County,46574,45.66078431372549,1020,2024
Amador County,42129,70.80504201680672,595,2024
Siskiyou County,42024,6.692785475394171,6279,2024
Glenn County,27898,21.231354642313548,1314,2024
Lassen County,27702,6.100418410041841,4541,2024
Del Norte County,26066,25.91053677932405,1006,2024
Colusa County,22165,19.25716768027802,1151,2024
Plumas County,18819,7.371327849588719,2553,2024
Inyo County,18312,1.7958223006766696,10197,2024
Mariposa County,16785,11.583850931677018,1449,2024
Trinity County,15562,4.895250078641082,3179,2024
Mono County,13130,4.306329944244014,3049,2024
Modoc County,8381,2.1228470111448834,3948,2024
Sierra County,3178,3.334732423924449,953,2024
Alpine County,1092,1.4796747967479675,738,2024
