County,Date,Year,Month,Day,incident_acres_burned,log_acres_burned,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Max Rel Hum (%),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F),No_Drought,D0,D1,D2,D3,D4,Drought_Score,Drought_D3_D4,Any_Drought,Temp_Range,Avg_Temp,Is_Fire_Season,Season,Fire_Impact_Per_Capita,Max_Air_Temp_mean_7d,Max_Air_Temp_max_7d,Min_Air_Temp_mean_7d,Min_Air_Temp_min_7d,Precip_sum_7d,Precip_max_7d,Avg_Wind_Speed_mean_7d,Avg_Wind_Speed_max_7d,Max_Rel_Hum_mean_7d,Max_Rel_Hum_min_7d,Sol_Rad_mean_7d,Avg_Vap_Pres_mean_7d,ETo_sum_7d,Avg_Soil_Temp_mean_7d,Wind_Run_sum_7d,Population,Density,Land Area (mi)
inyo,2013-02-24,2013,2,24,407.0,6.0112671744041615,0.12,0.0,431.0,1.8,53.1,18.7,52.0,5.5,132.9,41.7,0.0,100.0,100.0,92.19,0.0,0.0,292.19,0.0,100.0,34.400000000000006,35.9,0,Winter,0.022178627867691134,55.51428571428572,65.1,19.54285714285714,15.3,0.0,0.0,5.357142857142857,7.4,60.142857142857146,56.0,386.0,2.2857142857142856,0.8300000000000001,42.285714285714285,896.6999999999999,18351.0,1.7996469549867609,10197.0
san bernardino,2013-04-20,2013,4,20,30.0,3.4339872044851463,0.23,0.0,646.0,4.2,82.9,46.3,33.0,3.3,79.5,58.9,0.0,100.0,74.64,54.54,0.0,0.0,229.17999999999998,0.0,100.0,36.60000000000001,64.6,0,Spring,1.4468206598273846e-05,66.84285714285714,76.8,42.44285714285714,34.1,0.0,0.0,9.128571428571428,14.5,57.857142857142854,31.0,648.8571428571429,5.185714285714284,1.59,57.51428571428572,1534.7,2073512.0,103.3242973888778,20068.0
madera,2013-04-30,2013,4,30,274.0,5.616771097666572,0.28,0.0,650.0,9.4,83.9,51.3,90.0,6.4,153.1,69.8,0.0,100.0,100.0,33.76,0.0,0.0,233.76,0.0,100.0,32.60000000000001,67.6,0,Spring,0.0018082585941779352,84.72857142857141,90.6,46.114285714285714,43.3,0.0,0.0,4.071428571428571,5.1,93.57142857142857,84.0,646.2857142857143,11.942857142857141,1.6099999999999999,67.12857142857143,681.0,151527.0,70.90641085634067,2137.0
napa,2013-04-30,2013,4,30,75.0,4.330733340286331,0.29,0.0,661.0,6.2,86.0,49.1,87.0,6.4,154.5,65.4,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,36.9,67.55,0,Spring,0.0005413677113860457,81.82857142857142,91.0,42.1,32.0,0.0,0.0,4.642857142857143,6.6,90.14285714285714,75.0,613.4285714285714,10.928571428571429,1.5,63.228571428571435,780.3000000000001,138538.0,184.2260638297872,752.0
riverside,2013-05-01,2013,5,1,2956.0,7.9919305198524775,0.23,0.0,659.0,12.1,86.7,57.6,77.0,4.1,97.8,67.6,0.0,100.0,89.23,43.94,0.0,0.0,233.17000000000002,0.0,100.0,29.1,72.15,1,Spring,0.0013072681633324547,77.91428571428571,85.7,53.44285714285714,49.2,0.0,0.0,4.242857142857143,5.6,78.71428571428571,71.0,592.4285714285714,11.657142857142857,1.42,65.77142857142857,712.5,2261204.0,313.66403107227075,7209.0
sonoma,2013-05-01,2013,5,1,125.0,4.836281906951478,0.25,0.0,649.0,6.5,87.5,39.4,84.0,4.2,101.0,61.8,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,48.1,63.45,1,Spring,0.0002551056851832577,72.42857142857143,86.8,40.42857142857143,36.7,0.0,0.0,3.671428571428571,5.0,96.57142857142857,94.0,561.5714285714286,11.12857142857143,1.25,60.58571428571428,619.0,489993.0,311.1066666666667,1575.0
san benito,2013-05-03,2013,5,3,354.0,5.872117789475416,0.26,0.0,640.0,7.7,91.4,48.5,71.0,3.3,78.7,67.4,0.0,100.0,58.47,0.0,0.0,0.0,158.47,0.0,100.0,42.900000000000006,69.95,1,Spring,0.0062545274651495605,83.65714285714286,93.0,45.557142857142864,41.8,0.0,0.0,3.1,3.4,94.42857142857143,88.0,603.8571428571429,11.7,1.5099999999999998,65.12857142857142,523.0,56599.0,40.74802015838733,1389.0
riverside,2013-05-04,2013,5,4,650.0,6.478509642208569,0.26,0.0,677.0,8.4,82.0,54.0,71.0,5.1,121.9,66.0,0.0,100.0,89.23,43.94,0.0,0.0,233.17000000000002,0.0,100.0,28.0,68.0,1,Spring,0.00028745747840530975,85.3,93.3,54.457142857142856,51.3,0.0,0.0,4.485714285714286,6.2,71.85714285714286,23.0,666.7142857142857,9.971428571428572,1.72,66.7,753.8,2261204.0,313.66403107227075,7209.0
san bernardino,2013-05-13,2013,5,13,75.0,4.330733340286331,0.29,0.0,675.0,6.6,94.4,60.2,40.0,4.3,102.2,65.6,0.0,100.0,90.74,76.6,0.0,0.0,267.34000000000003,0.0,100.0,34.2,77.30000000000001,1,Spring,3.6170516495684615e-05,76.67142857142858,93.4,50.371428571428574,45.4,0.0,0.0,6.071428571428571,10.2,71.85714285714286,40.0,629.0,8.357142857142856,1.55,61.199999999999996,1019.9000000000001,2073512.0,103.3242973888778,20068.0
ventura,2013-05-15,2013,5,15,4346.0,8.377241230988792,0.19,0.0,608.0,13.8,70.0,48.6,97.0,3.5,82.8,68.1,0.0,100.0,98.75,11.1,0.0,0.0,209.85,0.0,100.0,21.4,59.3,1,Spring,0.005214057078688351,74.39999999999999,82.3,51.44285714285714,48.6,0.0,0.0,3.485714285714286,3.8,98.0,95.0,600.5714285714286,15.12857142857143,1.34,68.07142857142857,589.3,833516.0,452.7517653449213,1841.0
