County,incident_acres_burned,incident_longitude,incident_latitude,incident_type,Date
shasta,37.0,-122.309,40.774,,2017-10-31
san diego,122.0,1.0,1.0,Wildfire,2009-05-24
inyo,407.0,-118.01651,36.602575,,2013-02-24
san bernardino,30.0,-116.941311,34.288877,,2013-04-20
madera,274.0,-119.635004,37.116295,,2013-04-30
tehama,6896.0,-121.595555,40.190062,,2013-05-01
napa,75.0,-122.350844,38.441792,,2013-04-30
sonoma,125.0,-122.655616,38.638828,,2013-05-01
riverside,2956.0,-116.941311,34.288877,,2013-05-01
san benito,354.0,-120.937494,37.160346,,2013-05-03
glenn,217.0,-122.560862,39.514139,,2013-05-01
san bernardino,75.0,-117.4408,34.1834,,2013-05-13
riverside,650.0,-116.855019,33.894055,,2013-05-04
kern,4346.0,-118.9411,34.7861,,2013-05-15
ventura,4346.0,-118.9411,34.7861,,2013-05-15
riverside,40.0,-116.161201,33.655638,,2013-05-16
los angeles,712.0,-118.610044,34.49149,,2013-05-17
madera,91.0,-119.7917,37.1927,,2013-05-19
san luis obispo,35.0,-120.91375,35.49864,,2013-05-20
riverside,25.0,-116.907213,33.96201,,2013-05-20
riverside,90.0,-116.6534,33.9582,,2013-05-21
san joaquin,303.0,-120.90325,38.04993,,2013-05-30
san diego,100.0,-116.900368,32.564465,,2013-05-22
san diego,2650.0,-116.52579,33.12111,,2013-05-23
san luis obispo,50.0,-120.6368,35.5123,,2013-05-25
riverside,124.0,-117.187934,33.963591,,2013-05-25
san diego,2500.0,-116.5209,33.04458,,2013-05-26
santa barbara,1984.0,-119.82429,34.55048,,2013-05-27
los angeles,149.0,-118.58688,34.419284,,2013-05-28
santa barbara,170.0,-120.074655,34.611824,,2013-05-28
san luis obispo,500.0,-120.05131,35.15832,,2013-06-01
tuolumne,100.0,-120.33313,37.91529,,2013-06-02
butte,298.0,-121.576804,39.434183,,2013-06-03
riverside,0.0,-116.84137,33.99647,,2013-06-09
sonoma,28.0,-122.0437,38.4229,,2013-06-10
solano,28.0,-122.0437,38.4229,,2013-06-10
lake,28.0,-122.0437,38.4229,,2013-06-10
colusa,28.0,-122.0437,38.4229,,2013-06-10
merced,124.0,-121.006939,37.03776,,2013-06-04
lake,30.0,-122.703193,38.99233,,2013-06-05
los angeles,30274.0,-118.423176,34.585595,,2013-05-30
alameda,240.0,-121.737213,37.775057,,2013-06-08
riverside,42.0,-117.1265,33.96936,,2013-06-08
amador,96.0,-120.966016,38.27783,,2013-06-12
madera,75.0,-119.75636,37.169379,,2013-06-12
fresno,108.0,-119.628389,36.772425,,2013-06-13
mariposa,1708.0,-119.91071,37.58202,,2013-06-16
placer,237.0,-121.380862,38.729297,,2013-06-13
fresno,35.0,-119.558244,36.763367,,2013-06-13
riverside,40.0,-117.302057,34.001745,,2013-06-14
madera,480.0,-119.78106,37.015575,,2013-06-16
solano,124.0,-122.13802,38.08744,,2013-06-18
fresno,46.0,-119.463757,37.03087,,2013-06-17
fresno,150.0,-119.2248,36.7218,,2013-06-25
lake,25.0,-122.81796,38.98058,,2013-06-20
san bernardino,534.0,-117.048397,34.071556,,2013-06-28
contra costa,274.0,-121.74367,39.90465,,2013-07-01
monterey,105.0,-120.8973,36.1531,,2013-06-29
contra costa,492.0,-121.91453,37.96866,,2013-07-01
modoc,502.0,-121.035,41.2415,,2013-07-03
