gridmet_id,UniqueId,Name,StartedDateOnly,Latitude,Longitude,AcresBurned
fire_00000,3135c367-1274-4cc4-9152-661f6fd7707e,Creek Fire,2016-10-10,38.40958,-122.43172,65.0
fire_00001,7106ba43-100b-41f9-acbf-9fb9e9ab9ef7,Taglio Fire,2016-04-24,37.2171,-121.08036,30.0
fire_00002,ffec404e-dea9-4175-8c50-8f2b0ca3efdd,Tulloch Fire,2016-05-30,37.927613,-120.528836,85.0
fire_00003,55fa95e6-f09e-42c4-889b-a4b5b63dccf2,Metz Fire,2016-05-22,36.38123,-121.20059,3876.0
fire_00004,ace1f464-7a70-4dcc-b8c5-d64fb1021d0e,Wheatland Fire,2016-05-23,34.276,-118.354,156.0
fire_00005,09ab0430-7679-494c-96d4-d7d938351cf4,DeWolf Fire,2016-05-25,36.88286,-119.654,278.0
fire_00006,648cfdd4-f3f5-4faf-8ab1-a6f2cb5d9a6c,Coe Fire,2016-06-07,37.17072,-121.42238,120.0
fire_00007,5080eb51-53e5-4338-95ec-618efe2bd7d1,Dunstone Fire,2016-05-27,39.33035,-121.78973,91.0
fire_00008,6227f4ad-3e40-4f3b-b210-3e55483e1e84,70 Fire,2016-05-29,39.624017,-121.595093,30.0
fire_00009,1d76ca50-aa10-4f90-bd99-a80bcf2eacce,Shedd Fire,2016-05-10,35.61961,-120.39993,150.0
fire_00010,afaa2efe-d946-4ff9-93c2-459aad31b908,Bryson Fire,2016-05-12,35.8378273,-121.0381507,25.0
fire_00011,f1769b9d-c522-4a0d-92a7-f9c8321b9f1d,Avocado Fire,2016-05-15,36.78769,-119.38248,132.0
fire_00012,e0de216a-9544-43ad-9b9f-bc05247f0550,Athens Fire,2016-05-17,38.8390117,-121.3090268,169.0
fire_00013,c88af25d-aff4-4b20-9c58-0b819c8ae99a,Pala Fire,2016-05-31,33.41639,-117.08829,70.0
fire_00014,5f422963-a30c-4cda-9427-7a0e028b6039,Coal Fire,2016-06-20,39.595,-121.6008,112.0
fire_00015,42fbaa73-e3c8-44ac-bf83-a576be6a804f,Frazier Fire,2016-06-27,35.70821,-120.82266,86.0
fire_00016,2225d427-97d7-4d71-a83a-814f38a1c947,Campo Fire,2016-06-27,38.22017,-120.8678,33.0
