id,lon,lat,start,end
fire_00000,-122.43172,38.40958,2016-09-10,2016-10-09
fire_00001,-121.08036,37.2171,2016-03-25,2016-04-23
fire_00002,-120.528836,37.927613,2016-04-30,2016-05-29
fire_00003,-121.20059,36.38123,2016-04-22,2016-05-21
fire_00004,-118.354,34.276,2016-04-23,2016-05-22
fire_00005,-119.654,36.88286,2016-04-25,2016-05-24
fire_00006,-121.42238,37.17072,2016-05-08,2016-06-06
fire_00007,-121.78973,39.33035,2016-04-27,2016-05-26
fire_00008,-121.595093,39.624017,2016-04-29,2016-05-28
fire_00009,-120.39993,35.61961,2016-04-10,2016-05-09
fire_00010,-121.0381507,35.8378273,2016-04-12,2016-05-11
fire_00011,-119.38248,36.78769,2016-04-15,2016-05-14
fire_00012,-121.3090268,38.8390117,2016-04-17,2016-05-16
fire_00013,-117.08829,33.41639,2016-05-01,2016-05-30
fire_00014,-121.6008,39.595,2016-05-21,2016-06-19
fire_00015,-120.82266,35.70821,2016-05-28,2016-06-26
fire_00016,-120.8678,38.22017,2016-05-28,2016-06-26
fire_00017,-122.40142,39.93965,2016-05-22,2016-06-20
fire_00018,-121.37704,38.86804,2016-05-22,2016-06-20
fire_00019,-120.6955,38.64107,2016-05-04,2016-06-02
fire_00020,-121.40304,36.80296,2016-05-04,2016-06-02
fire_00021,-121.06452,38.3131,2016-05-04,2016-06-02
fire_00022,-117.140883,33.476894,2016-05-05,2016-06-03
fire_00023,-121.25029,36.01542,2016-05-05,2016-06-03
fire_00024,-122.46777,40.61388,2016-05-12,2016-06-10
fire_00025,-120.90265,38.26874,2016-05-18,2016-06-16
fire_00026,-116.63028,32.60729,2016-05-20,2016-06-18
fire_00027,-121.3306,36.2833,2016-05-19,2016-06-17
fire_00028,-121.857,39.7947,2016-05-12,2016-06-10
fire_00029,-120.251,35.77135,2016-05-12,2016-06-10
fire_00030,-121.04993,36.49914,2016-05-13,2016-06-11
fire_00031,-123.557,41.623,2016-05-08,2016-06-06
fire_00032,-119.643,34.776,2016-05-16,2016-06-14
fire_00033,-122.15457,38.69971,2016-05-27,2016-06-25
fire_00034,-121.6051,39.43351,2016-05-22,2016-06-20
fire_00035,-118.45628,35.6115,2016-05-24,2016-06-22
fire_00036,-120.9293,36.1934,2016-05-24,2016-06-22
fire_00037,-121.20155,37.07147,2016-05-26,2016-06-24
fire_00038,-117.77395,33.57872,2016-05-27,2016-06-25
fire_00039,-121.58677,37.74369,2016-05-26,2016-06-24
fire_00040,-119.14,37.97,2016-05-26,2016-06-24
fire_00041,-122.50373,39.12366,2016-05-27,2016-06-25
fire_00042,-120.9375,38.96741,2016-05-29,2016-06-27
fire_00043,-121.003611,38.385,2016-05-29,2016-06-27
fire_00044,-119.39619,36.92244,2016-06-11,2016-07-10
fire_00045,-118.57245,34.36763,2016-06-09,2016-07-08
fire_00046,-122.72913,40.36873,2016-06-08,2016-07-07
fire_00047,-122.56939,40.0353,2016-05-31,2016-06-29
fire_00048,-118.72272,35.20993,2016-06-01,2016-06-30
fire_00049,-119.144,34.701,2016-05-31,2016-06-29
fire_00050,-122.2071,40.07846,2016-06-01,2016-06-30
fire_00051,-120.452041,36.0749,2016-06-01,2016-06-30
fire_00052,-118.15589,36.58972,2016-06-01,2016-06-30
fire_00053,-120.61153,38.02845,2016-06-02,2016-07-01
fire_00054,-121.103642,38.517772,2016-06-10,2016-07-09
fire_00055,-120.62048,36.14161,2016-06-04,2016-07-03
fire_00056,-119.65776,37.25601,2016-06-04,2016-07-03
fire_00057,-118.63264,34.27619,2016-06-01,2016-06-30
fire_00058,-116.58542,33.11645,2016-06-11,2016-07-10
fire_00059,-120.81394,38.08056,2016-06-12,2016-07-11
fire_00060,-120.67335,37.96311,2016-06-12,2016-07-11
fire_00061,-122.04726,38.8866,2016-06-15,2016-07-14
fire_00062,-118.21793,35.68313,2016-06-13,2016-07-12
fire_00063,-119.39619,36.92244,2016-06-13,2016-07-12
fire_00064,-118.94811,35.60748,2016-06-15,2016-07-14
fire_00065,-119.5792,37.0099,2016-06-15,2016-07-14
fire_00066,-116.7945,32.9612,2016-06-18,2016-07-17
fire_00067,-122.7891,39.0863,2016-06-19,2016-07-18
fire_00068,-122.59328,41.96191,2016-06-19,2016-07-18
fire_00069,-119.50507,37.01591,2016-06-30,2016-07-29
fire_00070,-120.64241,37.98171,2016-06-21,2016-07-20
fire_00071,-122.02564,38.33475,2016-06-22,2016-07-21
