gridmet_id,UniqueId,Name,StartedDateOnly,Latitude,Longitude,AcresBurned,gridmet_rows_available,n_days_7d,pr_mm_7d_mean,pr_mm_7d_min,pr_mm_7d_max,pr_mm_7d_sum,tmmn_K_7d_mean,tmmn_K_7d_min,tmmn_K_7d_max,tmmn_K_7d_sum,tmmx_K_7d_mean,tmmx_K_7d_min,tmmx_K_7d_max,tmmx_K_7d_sum,rmin_pct_7d_mean,rmin_pct_7d_min,rmin_pct_7d_max,rmin_pct_7d_sum,rmax_pct_7d_mean,rmax_pct_7d_min,rmax_pct_7d_max,rmax_pct_7d_sum,vs_m_s_7d_mean,vs_m_s_7d_min,vs_m_s_7d_max,vs_m_s_7d_sum,srad_W_m2_7d_mean,srad_W_m2_7d_min,srad_W_m2_7d_max,srad_W_m2_7d_sum,bi_7d_mean,bi_7d_min,bi_7d_max,bi_7d_sum,erc_7d_mean,erc_7d_min,erc_7d_max,erc_7d_sum,fm100_pct_7d_mean,fm100_pct_7d_min,fm100_pct_7d_max,fm100_pct_7d_sum,fm1000_pct_7d_mean,fm1000_pct_7d_min,fm1000_pct_7d_max,fm1000_pct_7d_sum,vpd_kPa_7d_mean,vpd_kPa_7d_min,vpd_kPa_7d_max,vpd_kPa_7d_sum,pet_mm_7d_mean,pet_mm_7d_min,pet_mm_7d_max,pet_mm_7d_sum,n_days_14d,pr_mm_14d_mean,pr_mm_14d_min,pr_mm_14d_max,pr_mm_14d_sum,tmmn_K_14d_mean,tmmn_K_14d_min,tmmn_K_14d_max,tmmn_K_14d_sum,tmmx_K_14d_mean,tmmx_K_14d_min,tmmx_K_14d_max,tmmx_K_14d_sum,rmin_pct_14d_mean,rmin_pct_14d_min,rmin_pct_14d_max,rmin_pct_14d_sum,rmax_pct_14d_mean,rmax_pct_14d_min,rmax_pct_14d_max,rmax_pct_14d_sum,vs_m_s_14d_mean,vs_m_s_14d_min,vs_m_s_14d_max,vs_m_s_14d_sum,srad_W_m2_14d_mean,srad_W_m2_14d_min,srad_W_m2_14d_max,srad_W_m2_14d_sum,bi_14d_mean,bi_14d_min,bi_14d_max,bi_14d_sum,erc_14d_mean,erc_14d_min,erc_14d_max,erc_14d_sum,fm100_pct_14d_mean,fm100_pct_14d_min,fm100_pct_14d_max,fm100_pct_14d_sum,fm1000_pct_14d_mean,fm1000_pct_14d_min,fm1000_pct_14d_max,fm1000_pct_14d_sum,vpd_kPa_14d_mean,vpd_kPa_14d_min,vpd_kPa_14d_max,vpd_kPa_14d_sum,pet_mm_14d_mean,pet_mm_14d_min,pet_mm_14d_max,pet_mm_14d_sum,n_days_30d,pr_mm_30d_mean,pr_mm_30d_min,pr_mm_30d_max,pr_mm_30d_sum,tmmn_K_30d_mean,tmmn_K_30d_min,tmmn_K_30d_max,tmmn_K_30d_sum,tmmx_K_30d_mean,tmmx_K_30d_min,tmmx_K_30d_max,tmmx_K_30d_sum,rmin_pct_30d_mean,rmin_pct_30d_min,rmin_pct_30d_max,rmin_pct_30d_sum,rmax_pct_30d_mean,rmax_pct_30d_min,rmax_pct_30d_max,rmax_pct_30d_sum,vs_m_s_30d_mean,vs_m_s_30d_min,vs_m_s_30d_max,vs_m_s_30d_sum,srad_W_m2_30d_mean,srad_W_m2_30d_min,srad_W_m2_30d_max,srad_W_m2_30d_sum,bi_30d_mean,bi_30d_min,bi_30d_max,bi_30d_sum,erc_30d_mean,erc_30d_min,erc_30d_max,erc_30d_sum,fm100_pct_30d_mean,fm100_pct_30d_min,fm100_pct_30d_max,fm100_pct_30d_sum,fm1000_pct_30d_mean,fm1000_pct_30d_min,fm1000_pct_30d_max,fm1000_pct_30d_sum,vpd_kPa_30d_mean,vpd_kPa_30d_min,vpd_kPa_30d_max,vpd_kPa_30d_sum,pet_mm_30d_mean,pet_mm_30d_min,pet_mm_30d_max,pet_mm_30d_sum,fire_start_date,log_acres,year,month,nwcg_size_class,severity_tier,size_tier,elevation,slope_degrees,aspect_degrees,northness,eastness
fire_00000,3135c367-1274-4cc4-9152-661f6fd7707e,Creek Fire,2016-10-10,38.40958,-122.43172,65.0,30,7,0.1999999999999999,0.0,1.4,1.4,283.5571428571429,281.8,286.0,1984.9,298.1428571428572,288.1,303.5,2087.0,26.585714285714285,10.9,67.0,186.1,78.85714285714286,60.9,100.0,552.0,3.071428571428572,2.1,4.7,21.5,191.3571428571429,86.6,215.8,1339.5,39.0,0.0,51.0,273.0,51.85714285714285,33.0,60.0,363.0,12.814285714285717,9.9,15.5,89.7,11.185714285714283,11.0,11.4,78.3,1.3514285714285712,0.29,1.93,9.46,3.842857142857143,1.3,4.8,26.9,14,0.1642857142857142,0.0,1.4,2.3,284.0,281.6,289.1,3976.0,299.35714285714283,288.1,310.2,4191.0,24.9,8.1,67.0,348.6,76.55,48.3,100.0,1071.7,3.321428571428572,2.1,4.8,46.50000000000001,206.8928571428572,86.6,234.2,2896.5,42.42857142857143,0.0,60.0,594.0,56.85714285714285,33.0,70.0,796.0,11.042857142857144,7.2,15.5,154.6,10.571428571428571,9.8,11.4,148.0,1.4992857142857143,0.29,3.22,20.99,4.164285714285714,1.3,5.4,58.3,30,0.0766666666666666,0.0,1.4,2.3,284.2133333333333,281.6,289.1,8526.4,301.1033333333333,288.1,310.4,9033.1,22.953333333333333,5.8,67.0,688.6,75.46666666666667,42.8,100.0,2264.0,3.433333333333333,2.1,5.3,103.0,228.03,86.6,266.1,6840.9,47.03333333333333,0.0,61.0,1411.0,58.46666666666667,33.0,70.0,1754.0,10.536666666666664,7.2,15.5,316.1,10.673333333333334,9.8,11.4,320.2,1.6926666666666668,0.29,3.26,50.78,4.783333333333334,1.3,6.6,143.50000000000003,2016-10-10,4.189654742026425,2016,10,C,Small,Small,223.80414,2.0,246.0,-0.4067366430758001,-0.913545457642601
fire_00001,7106ba43-100b-41f9-acbf-9fb9e9ab9ef7,Taglio Fire,2016-04-24,37.2171,-121.08036,30.0,30,7,0.1857142857142857,0.0,1.3,1.3,284.57142857142856,282.5,286.3,1992.0,302.1,294.9,306.3,2114.7000000000003,25.842857142857145,16.9,44.2,180.9,81.57142857142857,68.8,93.9,571.0,2.9285714285714284,1.6,5.1,20.5,299.65714285714284,227.2,320.4,2097.6,25.0,0.0,34.0,175.0,36.142857142857146,24.0,41.0,253.0,11.400000000000002,9.8,12.9,79.80000000000001,17.057142857142857,16.4,17.9,119.4,1.6528571428571426,0.93,2.27,11.57,5.414285714285716,4.0,5.9,37.900000000000006,14,0.15,0.0,1.3,2.1,284.25,282.5,286.3,3979.5,299.3357142857143,292.1,306.3,4190.7,32.72142857142857,16.9,66.3,458.1,85.57857142857142,68.8,100.0,1198.1,3.107142857142857,1.4,5.7,43.5,281.77142857142854,89.9,322.6,3944.8,24.642857142857142,0.0,36.0,345.0,30.785714285714285,18.0,41.0,431.0,13.892857142857142,9.8,19.7,194.5,18.27857142857143,16.4,19.9,255.9,1.3257142857142858,0.49,2.27,18.56,4.871428571428572,1.8,6.0,68.2,30,1.34,0.0,19.1,40.2,283.53333333333336,278.1,287.5,8506.0,298.8999999999999,290.7,306.3,8966.999999999998,33.87,16.9,67.6,1016.1,90.52000000000002,68.8,100.0,2715.600000000001,3.0566666666666658,1.4,6.1,91.69999999999996,274.0933333333333,89.9,322.6,8222.8,23.166666666666668,0.0,36.0,695.0,28.433333333333334,11.0,41.0,853.0,14.813333333333334,9.8,20.4,444.4,18.82333333333333,16.4,21.0,564.6999999999999,1.1936666666666669,0.49,2.27,35.81,4.6066666666666665,1.8,6.0,138.2,2016-04-24,3.4339872044851463,2016,4,C,Small,Small,62.611248,1.0,80.0,0.1736481776669304,0.984807753012208
fire_00002,ffec404e-dea9-4175-8c50-8f2b0ca3efdd,Tulloch Fire,2016-05-30,37.927613,-120.528836,85.0,30,7,0.0,0.0,0.0,0.0,285.45714285714286,282.1,287.4,1998.2,300.5571428571428,294.7,305.2,2103.9,30.228571428571424,22.2,37.3,211.6,79.2,62.1,88.5,554.4,3.242857142857143,2.4,4.3,22.7,333.2714285714286,261.3,363.5,2332.9,40.85714285714285,34.0,46.0,286.0,50.0,46.0,56.0,350.0,11.014285714285714,9.1,12.0,77.1,12.785714285714288,12.2,13.1,89.50000000000001,1.4157142857142857,0.88,1.97,9.91,6.114285714285715,4.4,7.7,42.8,14,0.0,0.0,0.0,0.0,284.58571428571435,279.5,290.6,3984.2000000000007,299.9071428571429,292.0,305.9,4198.700000000001,30.11428571428571,21.3,40.1,421.6,79.53571428571429,60.5,91.6,1113.5,3.242857142857143,2.2,5.0,45.4,331.7357142857143,245.2,363.5,4644.3,40.07142857142857,32.0,46.0,561.0,48.85714285714285,45.0,56.0,684.0,11.021428571428572,9.1,12.4,154.3,13.114285714285712,12.2,14.0,183.6,1.4235714285714285,0.7,2.36,19.93,5.985714285714287,3.7,7.7,83.80000000000001,30,0.0733333333333333,0.0,1.2,2.2,284.8333333333333,279.5,290.6,8545.0,299.3833333333333,291.5,306.4,8981.5,33.933333333333344,21.3,60.4,1018.0000000000002,81.52666666666664,60.5,100.0,2445.8,2.9799999999999995,1.7,5.4,89.39999999999999,314.21,122.4,363.5,9426.3,34.06666666666667,0.0,46.0,1022.0,44.266666666666666,28.0,56.0,1328.0,11.593333333333334,9.1,13.5,347.8,14.01,12.2,15.9,420.3,1.3003333333333331,0.58,2.36,39.01,5.533333333333332,2.4,7.7,165.99999999999997,2016-05-30,4.454347296253507,2016,5,C,Small,Small,254.46841,5.0,246.0,-0.4067366430758001,-0.913545457642601
fire_00003,55fa95e6-f09e-42c4-889b-a4b5b63dccf2,Metz Fire,2016-05-22,36.38123,-121.20059,3876.0,30,7,0.0,0.0,0.0,0.0,281.7142857142857,278.6,283.5,1972.0,298.4714285714286,290.3,304.9,2089.3,29.4,18.0,43.2,205.8,90.18571428571428,77.3,100.0,631.3,5.057142857142858,3.9,7.3,35.400000000000006,349.0571428571429,344.3,353.1,2443.4,44.0,40.0,53.0,308.0,42.42857142857143,39.0,46.0,297.0,12.8,11.4,14.4,89.6,14.614285714285716,14.2,15.0,102.3,1.2642857142857142,0.55,2.02,8.85,6.014285714285714,4.3,7.6,42.1,14,0.0,0.0,0.0,0.0,281.4857142857143,278.6,283.5,3940.8,299.13571428571424,290.3,304.9,4187.9,31.36428571428572,18.0,43.2,439.1,94.91428571428573,77.3,100.0,1328.8,3.728571428571428,1.6,7.3,52.2,336.16428571428565,221.6,353.1,4706.299999999999,36.285714285714285,25.0,53.0,508.0,39.785714285714285,35.0,46.0,557.0,13.96428571428572,11.4,15.6,195.50000000000009,14.94285714285714,14.2,15.5,209.2,1.177857142857143,0.55,2.02,16.490000000000002,5.485714285714285,3.6,7.6,76.79999999999998,30,0.3066666666666666,0.0,4.9,9.2,280.97,275.8,283.7,8429.1,296.9866666666666,288.2,304.9,8909.599999999999,33.97,16.6,59.9,1019.1,94.00333333333334,74.6,100.0,2820.1000000000004,4.016666666666667,1.6,7.9,120.5,315.2200000000001,181.4,353.1,9456.600000000002,32.333333333333336,0.0,53.0,970.0,37.66666666666666,24.0,46.0,1130.0,14.016666666666667,11.1,15.6,420.5,15.17333333333333,14.2,16.0,455.19999999999993,1.0223333333333335,0.4,2.02,30.670000000000005,4.973333333333333,2.6,7.6,149.2,2016-05-22,8.262816937670928,2016,5,F,Large,Large,257.852,11.0,134.0,-0.6946583704589974,0.7193398003386511
fire_00004,ace1f464-7a70-4dcc-b8c5-d64fb1021d0e,Wheatland Fire,2016-05-23,34.276,-118.354,156.0,30,7,0.0,0.0,0.0,0.0,283.8285714285715,280.9,286.5,1986.8,295.9857142857143,291.7,300.9,2071.9,36.52857142857143,28.9,46.0,255.7,84.5142857142857,76.0,91.7,591.5999999999999,3.071428571428572,2.5,3.8,21.500000000000004,312.02857142857147,289.8,323.8,2184.2000000000003,39.71428571428572,37.0,45.0,278.0,49.71428571428572,47.0,52.0,348.0,11.928571428571429,11.2,12.4,83.49999999999999,12.214285714285714,12.1,12.3,85.5,0.9557142857142856,0.67,1.38,6.69,4.842857142857143,4.0,5.6,33.9,14,0.0,0.0,0.0,0.0,284.62857142857143,280.9,287.9,3984.8,296.9785714285714,291.7,304.0,4157.7,36.457142857142856,19.0,50.6,510.4,84.41428571428573,61.2,100.0,1181.8000000000002,2.678571428571428,1.9,3.8,37.49999999999999,311.60714285714295,289.8,323.8,4362.500000000001,37.07142857142857,31.0,45.0,519.0,48.35714285714285,41.0,53.0,677.0,12.657142857142858,11.1,16.3,177.20000000000002,12.385714285714284,12.1,12.9,173.39999999999998,1.0221428571428572,0.4,1.91,14.31,4.892857142857143,4.0,6.2,68.5,30,0.3033333333333333,0.0,7.5,9.1,283.66,280.4,287.9,8509.8,295.82666666666665,288.9,304.0,8874.8,36.09333333333333,19.0,59.1,1082.8,84.62666666666665,61.2,100.0,2538.8,2.983333333333333,1.9,5.8,89.49999999999999,293.2799999999999,205.1,323.8,8798.399999999998,36.5,0.0,55.0,1095.0,50.46666666666667,33.0,65.0,1514.0,12.063333333333333,7.8,16.3,361.9,11.576666666666666,10.2,12.9,347.3,0.9406666666666664,0.36,1.91,28.219999999999995,4.633333333333334,2.9,6.2,139.0,2016-05-23,5.056245805348308,2016,5,D,Medium,Medium,395.88687,10.0,217.0,-0.7986355100472928,-0.6018150231520484
fire_00005,09ab0430-7679-494c-96d4-d7d938351cf4,DeWolf Fire,2016-05-25,36.88286,-119.654,278.0,30,7,0.0,0.0,0.0,0.0,283.0714285714286,280.2,289.4,1981.5,300.32857142857137,296.0,308.2,2102.3,25.685714285714283,16.7,29.8,179.79999999999998,80.39999999999999,65.5,90.5,562.8,3.271428571428572,2.8,3.9,22.9,333.1,278.4,353.0,2331.7000000000003,43.285714285714285,40.0,46.0,303.0,52.85714285714285,52.0,55.0,370.0,10.114285714285714,9.1,10.9,70.8,12.457142857142856,12.2,13.0,87.2,1.524285714285714,0.98,2.73,10.669999999999998,6.028571428571429,5.1,7.8,42.2,14,0.0,0.0,0.0,0.0,284.6142857142857,280.2,289.4,3984.6,302.67142857142863,296.0,309.4,4237.400000000001,25.785714285714285,16.7,32.5,361.0,83.60000000000001,65.5,98.5,1170.4,3.378571428571429,2.6,4.4,47.3,340.0071428571428,278.4,356.0,4760.099999999999,42.0,35.0,46.0,588.0,50.21428571428572,45.0,55.0,703.0,11.035714285714286,9.1,13.0,154.5,12.964285714285714,12.2,13.9,181.5,1.715714285714286,0.98,2.73,24.020000000000003,6.471428571428572,5.1,7.8,90.6,30,0.2066666666666666,0.0,3.7,6.2,284.13666666666666,278.7,289.4,8524.1,300.4833333333333,292.4,309.4,9014.5,29.21,16.7,45.7,876.3,82.70666666666668,65.4,99.3,2481.2000000000003,3.003333333333333,1.7,4.8,90.1,308.93999999999994,132.7,356.0,9268.2,35.266666666666666,0.0,46.0,1058.0,45.96666666666667,32.0,55.0,1379.0,11.400000000000002,8.9,13.7,342.00000000000006,13.733333333333333,12.2,15.5,412.0,1.448333333333333,0.73,2.73,43.44999999999999,5.596666666666666,2.7,7.8,167.89999999999998,2016-05-25,5.631211781821365,2016,5,D,Medium,Medium,127.14908,0.0,233.0,-0.6018150231520483,-0.7986355100472928
fire_00006,648cfdd4-f3f5-4faf-8ab1-a6f2cb5d9a6c,Coe Fire,2016-06-07,37.17072,-121.42238,120.0,30,7,0.0,0.0,0.0,0.0,291.0714285714286,287.7,293.7,2037.5,307.15714285714284,304.7,308.9,2150.1,21.785714285714285,18.4,27.2,152.5,59.8,49.2,73.9,418.6,2.914285714285714,2.6,3.4,20.4,354.87142857142857,331.8,362.6,2484.1,45.142857142857146,41.0,50.0,316.0,59.142857142857146,54.0,62.0,414.0,7.5857142857142845,6.9,8.7,53.1,12.071428571428571,11.3,13.0,84.5,2.41,1.65,2.95,16.87,7.528571428571429,7.3,7.9,52.7,14,0.0,0.0,0.0,0.0,288.6214285714285,281.7,293.7,4040.7,302.7857142857143,291.2,308.9,4239.0,29.178571428571427,18.4,48.7,408.5,68.87142857142858,49.2,98.0,964.2,3.271428571428572,2.6,4.9,45.8,352.12857142857143,313.4,362.6,4929.8,41.642857142857146,34.0,50.0,583.0,51.785714285714285,39.0,62.0,725.0,9.87857142857143,6.9,14.1,138.3,13.000000000000002,11.3,14.5,182.00000000000003,1.7778571428571424,0.39,2.95,24.89,6.721428571428571,4.5,7.9,94.1,30,0.0,0.0,0.0,0.0,286.4466666666667,280.1,293.7,8593.400000000001,299.06333333333333,287.2,308.9,8971.9,36.56333333333334,18.4,58.9,1096.9,77.41666666666667,49.2,100.0,2322.5,3.58,1.8,7.9,107.4,335.6766666666666,210.5,362.6,10070.3,38.16666666666666,21.0,54.0,1145.0,44.66666666666666,29.0,62.0,1340.0,11.766666666666662,6.9,17.7,352.9999999999999,14.146666666666668,11.3,16.3,424.4,1.3096666666666663,0.28,2.95,39.29,5.856666666666668,3.3,7.9,175.70000000000005,2016-06-07,4.795790545596741,2016,6,D,Medium,Medium,604.9648,5.0,132.0,-0.6691306063588582,0.7431448254773942
fire_00007,5080eb51-53e5-4338-95ec-618efe2bd7d1,Dunstone Fire,2016-05-27,39.33035,-121.78973,91.0,30,7,1.3142857142857145,0.0,9.2,9.2,285.6,283.6,287.6,1999.2,297.9428571428571,291.9,303.7,2085.6,35.68571428571429,30.5,46.8,249.8,81.64285714285714,76.8,90.0,571.5,2.685714285714286,1.7,4.2,18.8,310.1,283.9,365.2,2170.7,28.571428571428573,0.0,39.0,200.0,43.142857142857146,30.0,47.0,302.0,11.900000000000002,11.0,13.4,83.30000000000001,13.828571428571427,13.6,14.2,96.8,1.15,0.73,1.76,8.05,5.028571428571429,4.5,6.2,35.2,14,0.6571428571428571,0.0,9.2,9.2,286.79285714285714,283.6,291.6,4015.1,300.9642857142858,291.9,308.5,4213.500000000001,32.17857142857143,20.0,46.8,450.5,82.24999999999999,65.3,100.0,1151.4999999999998,3.0357142857142856,1.6,4.7,42.5,329.7714285714286,283.9,365.2,4616.8,34.142857142857146,0.0,49.0,478.0,44.57142857142857,30.0,51.0,624.0,11.771428571428572,9.5,13.7,164.8,13.892857142857142,13.4,14.4,194.5,1.491428571428571,0.73,2.57,20.88,5.921428571428572,4.5,8.6,82.9,30,0.6266666666666666,0.0,9.2,18.8,286.68000000000006,283.1,291.6,8600.400000000001,300.40666666666664,291.0,308.5,9012.2,34.81333333333334,20.0,73.8,1044.4,82.93000000000002,61.4,100.0,2487.9000000000005,2.79,1.4,7.0,83.7,306.88666666666666,85.2,365.2,9206.6,31.666666666666668,0.0,59.0,950.0,42.7,25.0,51.0,1281.0,11.976666666666665,8.7,15.9,359.29999999999995,14.29,13.4,15.9,428.7,1.3806666666666667,0.23,2.57,41.42,5.456666666666666,1.6,8.6,163.7,2016-05-27,4.5217885770490405,2016,5,C,Small,Small,22.501198,0.0,274.0,0.0697564737441252,-0.9975640502598244
fire_00008,6227f4ad-3e40-4f3b-b210-3e55483e1e84,70 Fire,2016-05-29,39.624017,-121.595093,30.0,30,7,0.1571428571428571,0.0,0.8,1.1,285.41428571428577,281.8,288.2,1997.9000000000003,300.30000000000007,295.6,304.8,2102.1000000000004,35.714285714285715,25.6,43.4,250.00000000000003,75.8,60.0,88.5,530.6,2.128571428571429,1.4,2.8,14.9,319.7714285714286,281.4,362.9,2238.4,34.0,29.0,39.0,238.0,49.0,46.0,55.0,343.0,10.871428571428572,9.4,11.6,76.10000000000001,12.828571428571427,12.2,13.1,89.8,1.3228571428571427,0.87,1.92,9.26,5.285714285714286,4.5,6.6,37.0,14,0.2642857142857143,0.0,1.3,3.7,285.9642857142857,281.8,291.4,4003.500000000001,300.35714285714283,290.4,308.2,4205.0,35.871428571428574,24.1,55.2,502.2000000000001,73.94285714285714,58.6,88.5,1035.1999999999998,2.9285714285714284,1.4,4.7,41.0,323.9428571428572,257.4,362.9,4535.200000000001,28.642857142857142,0.0,46.0,401.0,45.57142857142857,33.0,55.0,638.0,10.771428571428572,9.0,12.2,150.8,13.15,12.2,13.9,184.1,1.437142857142857,0.67,2.57,20.12,5.707142857142857,3.8,8.2,79.9,30,0.42,0.0,4.7,12.6,285.96666666666664,281.8,291.4,8579.0,299.77666666666664,289.5,308.2,8993.3,37.96,21.8,77.6,1138.7999999999995,74.06333333333333,52.1,99.2,2221.9,2.816666666666667,1.3,6.0,84.5,309.12333333333333,85.6,362.9,9273.7,28.33333333333333,0.0,49.0,850.0,42.73333333333333,23.0,55.0,1282.0,11.056666666666665,8.0,15.2,331.69999999999993,14.03,12.2,15.9,420.9,1.3410000000000004,0.28,2.57,40.23000000000001,5.459999999999999,1.5,8.2,163.79999999999998,2016-05-29,3.4339872044851463,2016,5,C,Small,Small,148.76733,4.0,318.0,0.7431448254773942,-0.6691306063588581
fire_00009,1d76ca50-aa10-4f90-bd99-a80bcf2eacce,Shedd Fire,2016-05-10,35.61961,-120.39993,150.0,30,7,0.0999999999999999,0.0,0.7,0.7,283.0857142857143,281.6,285.2,1981.6,296.2714285714286,293.5,302.3,2073.9,38.25714285714285,20.9,45.5,267.79999999999995,90.47142857142858,78.2,100.0,633.3000000000001,3.0285714285714285,2.0,4.3,21.2,289.3857142857143,235.9,339.8,2025.7000000000005,30.714285714285715,0.0,42.0,215.0,42.285714285714285,32.0,49.0,296.0,12.757142857142856,11.0,14.5,89.3,13.514285714285714,13.4,13.7,94.6,0.8985714285714285,0.61,1.53,6.289999999999999,4.571428571428571,3.6,5.9,32.0,14,0.0499999999999999,0.0,0.7,0.7,281.4785714285714,276.3,285.2,3940.7,297.1571428571429,293.5,302.3,4160.200000000001,31.750000000000004,19.3,45.5,444.50000000000006,89.25,78.2,100.0,1249.5,3.0142857142857147,1.9,4.9,42.2,306.77857142857147,235.9,339.8,4294.900000000001,33.42857142857143,0.0,43.0,468.0,43.71428571428572,32.0,49.0,612.0,12.521428571428572,11.0,14.5,175.3,13.785714285714286,13.4,14.3,193.0,1.0171428571428571,0.61,1.54,14.24,4.878571428571429,3.6,5.9,68.30000000000001,30,0.06,0.0,1.1,1.8,280.28666666666663,276.3,285.5,8408.599999999999,297.43333333333334,291.6,305.4,8923.0,29.49666666666667,9.6,56.7,884.9000000000001,88.34666666666665,65.6,100.0,2650.4,3.119999999999999,1.8,4.9,93.59999999999998,297.9266666666667,126.3,339.8,8937.800000000001,32.233333333333334,0.0,43.0,967.0,41.333333333333336,29.0,49.0,1240.0,12.7,9.1,15.8,381.0,14.726666666666668,13.4,16.8,441.8,1.1103333333333332,0.61,2.23,33.309999999999995,4.836666666666667,2.3,6.4,145.1,2016-05-10,5.017279836814924,2016,5,D,Medium,Medium,383.70276,3.0,38.0,0.7880107536067219,0.6156614753256583
