gridmet_id,usdm_week,usdm_week_str,usdm_raw,usdm_missing_reason,usdm_category,usdm_intensity,is_abnormally_dry_D0_plus,is_drought_D1_plus,is_severe_D2_plus,is_extreme_D3_plus
fire_00001,2016-04-19,20160419,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00009,2016-05-03,20160503,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00010,2016-05-10,20160510,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00011,2016-05-10,20160510,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00012,2016-05-10,20160510,2,,D2,2.0,1.0,1.0,1.0,0.0
fire_00003,2016-05-17,20160517,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00004,2016-05-17,20160517,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00005,2016-05-17,20160517,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00002,2016-05-24,20160524,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00007,2016-05-24,20160524,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00008,2016-05-24,20160524,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00013,2016-05-24,20160524,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00006,2016-05-31,20160531,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00019,2016-05-31,20160531,2,,D2,2.0,1.0,1.0,1.0,0.0
fire_00020,2016-05-31,20160531,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00021,2016-05-31,20160531,2,,D2,2.0,1.0,1.0,1.0,0.0
fire_00022,2016-05-31,20160531,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00023,2016-05-31,20160531,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00031,2016-05-31,20160531,-1,,None,0.0,0.0,0.0,0.0,0.0
fire_00024,2016-06-07,20160607,0,,D0,0.0,1.0,0.0,0.0,0.0
fire_00028,2016-06-07,20160607,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00029,2016-06-07,20160607,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00030,2016-06-07,20160607,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00032,2016-06-07,20160607,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00014,2016-06-14,20160614,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00017,2016-06-14,20160614,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00018,2016-06-14,20160614,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00025,2016-06-14,20160614,2,,D2,2.0,1.0,1.0,1.0,0.0
fire_00026,2016-06-14,20160614,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00027,2016-06-14,20160614,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00034,2016-06-14,20160614,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00015,2016-06-21,20160621,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00016,2016-06-21,20160621,2,,D2,2.0,1.0,1.0,1.0,0.0
fire_00033,2016-06-21,20160621,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00035,2016-06-21,20160621,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00036,2016-06-21,20160621,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00037,2016-06-21,20160621,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00038,2016-06-21,20160621,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00039,2016-06-21,20160621,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00040,2016-06-21,20160621,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00041,2016-06-21,20160621,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00042,2016-06-21,20160621,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00043,2016-06-21,20160621,2,,D2,2.0,1.0,1.0,1.0,0.0
fire_00047,2016-06-28,20160628,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00048,2016-06-28,20160628,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00049,2016-06-28,20160628,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00050,2016-06-28,20160628,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00051,2016-06-28,20160628,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00052,2016-06-28,20160628,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00053,2016-06-28,20160628,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00055,2016-06-28,20160628,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00056,2016-06-28,20160628,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00057,2016-06-28,20160628,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00044,2016-07-05,20160705,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00045,2016-07-05,20160705,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00046,2016-07-05,20160705,0,,D0,0.0,1.0,0.0,0.0,0.0
fire_00054,2016-07-05,20160705,2,,D2,2.0,1.0,1.0,1.0,0.0
fire_00058,2016-07-05,20160705,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00059,2016-07-05,20160705,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00060,2016-07-05,20160705,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00062,2016-07-05,20160705,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00063,2016-07-05,20160705,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00061,2016-07-12,20160712,2,,D2,2.0,1.0,1.0,1.0,0.0
fire_00064,2016-07-12,20160712,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00065,2016-07-12,20160712,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00066,2016-07-12,20160712,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00067,2016-07-12,20160712,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00068,2016-07-12,20160712,0,,D0,0.0,1.0,0.0,0.0,0.0
fire_00070,2016-07-19,20160719,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00071,2016-07-19,20160719,1,,D1,1.0,1.0,1.0,0.0,0.0
fire_00072,2016-07-19,20160719,3,,D3,3.0,1.0,1.0,1.0,1.0
fire_00073,2016-07-19,20160719,0,,D0,0.0,1.0,0.0,0.0,0.0
fire_00074,2016-07-19,20160719,4,,D4,4.0,1.0,1.0,1.0,1.0
fire_00075,2016-07-19,20160719,1,,D1,1.0,1.0,1.0,0.0,0.0
