gridmet_id,Name,fire_start_date,year,month,Latitude,Longitude,AcresBurned,log_acres,nwcg_size_class,severity_tier,tmmx_F_7d_mean,tmmn_F_7d_mean,vpd_kPa_7d_mean,vs_m_s_7d_mean,rmin_pct_7d_mean,pr_mm_30d_sum,erc_7d_mean,bi_7d_mean,fm100_pct_7d_mean,fm1000_pct_30d_mean,elevation,slope_degrees,northness,eastness,usdm_raw,usdm_category,usdm_intensity,is_abnormally_dry_D0_plus,is_drought_D1_plus,is_severe_D2_plus,is_extreme_D3_plus,fbfm40_code,fbfm40_group,evt_code,evc_code,evh_code,canopy_cover,fvt_code,fvc_code,has_canopy_cover
fire_00000,Creek Fire,2016-10-10,2016,10,38.40958,-122.43172,65.0,4.189654742026425,C,Small,76.98714285714304,50.73285714285722,1.3514285714285712,3.071428571428572,26.585714285714285,2.3,51.85714285714285,39.0,12.814285714285717,10.673333333333334,223.80414,2.0,-0.4067366430758001,-0.913545457642601,0,D0,0.0,1.0,0.0,0.0,0.0,183.0,timber_litter,7901.0,14.0,14.0,45.0,2914.0,14.0,1.0
fire_00001,Taglio Fire,2016-04-24,2016,4,37.2171,-121.08036,30.0,3.4339872044851463,C,Small,84.11000000000008,52.55857142857144,1.6528571428571426,2.9285714285714284,25.842857142857145,40.2,36.142857142857146,25.0,11.400000000000002,18.82333333333333,62.611248,1.0,0.1736481776669304,0.984807753012208,3,D3,3.0,1.0,1.0,1.0,1.0,93.0,nonburnable_or_other,7984.0,64.0,64.0,0.0,2964.0,64.0,0.0
fire_00002,Tulloch Fire,2016-05-30,2016,5,37.927613,-120.528836,85.0,4.454347296253507,C,Small,81.33285714285712,54.15285714285718,1.4157142857142857,3.242857142857143,30.228571428571424,2.2,50.0,40.85714285714285,11.014285714285714,14.01,254.46841,5.0,-0.4067366430758001,-0.913545457642601,3,D3,3.0,1.0,1.0,1.0,1.0,102.0,grass,9301.0,351.0,304.0,0.0,2270.0,125.0,0.0
fire_00003,Metz Fire,2016-05-22,2016,5,36.38123,-121.20059,3876.0,8.262816937670928,F,Large,77.57857142857151,47.415714285714344,1.2642857142857142,5.057142857142858,29.4,9.2,42.42857142857143,44.0,12.8,15.17333333333333,257.852,11.0,-0.6946583704589974,0.7193398003386511,4,D4,4.0,1.0,1.0,1.0,1.0,102.0,grass,9301.0,342.0,303.0,0.0,2184.0,123.0,0.0
fire_00004,Wheatland Fire,2016-05-23,2016,5,34.276,-118.354,156.0,5.056245805348308,D,Medium,73.10428571428582,51.2214285714287,0.9557142857142856,3.071428571428572,36.52857142857143,9.1,49.71428571428572,39.71428571428572,11.928571428571429,11.576666666666666,395.88687,10.0,-0.7986355100472928,-0.6018150231520484,4,D4,4.0,1.0,1.0,1.0,1.0,122.0,grass_shrub,7092.0,224.0,215.0,0.0,2092.0,112.0,0.0
fire_00005,DeWolf Fire,2016-05-25,2016,5,36.88286,-119.654,278.0,5.631211781821365,D,Medium,80.92142857142849,49.858571428571544,1.524285714285714,3.271428571428572,25.685714285714283,6.2,52.85714285714285,43.285714285714285,10.114285714285714,13.733333333333333,127.14908,0.0,-0.6018150231520483,-0.7986355100472928,3,D3,3.0,1.0,1.0,1.0,1.0,98.0,nonburnable_or_other,7292.0,11.0,11.0,0.0,11.0,11.0,0.0
fire_00006,Coe Fire,2016-06-07,2016,6,37.17072,-121.42238,120.0,4.795790545596741,D,Medium,93.21285714285716,64.25857142857154,2.41,2.914285714285714,21.785714285714285,0.0,59.142857142857146,45.142857142857146,7.5857142857142845,14.146666666666668,604.9648,5.0,-0.6691306063588582,0.7431448254773942,3,D3,3.0,1.0,1.0,1.0,1.0,144.0,shrub,7105.0,240.0,221.0,0.0,2105.0,115.0,0.0
fire_00007,Dunstone Fire,2016-05-27,2016,5,39.33035,-121.78973,91.0,4.5217885770490405,C,Small,76.62714285714286,54.41000000000008,1.15,2.685714285714286,35.68571428571429,18.8,43.142857142857146,28.571428571428573,11.900000000000002,14.29,22.501198,0.0,0.0697564737441252,-0.9975640502598244,1,D1,1.0,1.0,1.0,0.0,0.0,103.0,grass,9829.0,356.0,303.0,0.0,2280.0,125.0,0.0
fire_00008,70 Fire,2016-05-29,2016,5,39.624017,-121.595093,30.0,3.4339872044851463,C,Small,80.87000000000016,54.075714285714426,1.3228571428571427,2.128571428571429,35.714285714285715,12.6,49.0,34.0,10.871428571428572,14.03,148.76733,4.0,0.7431448254773942,-0.6691306063588581,1,D1,1.0,1.0,1.0,0.0,0.0,102.0,grass,9301.0,348.0,303.0,0.0,2270.0,124.0,0.0
fire_00009,Shedd Fire,2016-05-10,2016,5,35.61961,-120.39993,150.0,5.017279836814924,D,Medium,73.61857142857153,49.88428571428576,0.8985714285714285,3.0285714285714285,38.25714285714285,1.8,42.285714285714285,30.714285714285715,12.757142857142856,14.726666666666668,383.70276,3.0,0.7880107536067219,0.6156614753256583,4,D4,4.0,1.0,1.0,1.0,1.0,102.0,grass,7987.0,331.0,303.0,0.0,2967.0,123.0,0.0
