gridmet_id,fbfm40_code,evt_code,evc_code,evh_code,canopy_cover,fvt_code,fvc_code,fbfm40_group
fire_00000,183.0,7901.0,14.0,14.0,45.0,2914.0,14.0,timber_litter
fire_00001,93.0,7984.0,64.0,64.0,0.0,2964.0,64.0,nonburnable_or_other
fire_00002,102.0,9301.0,351.0,304.0,0.0,2270.0,125.0,grass
fire_00003,102.0,9301.0,342.0,303.0,0.0,2184.0,123.0,grass
fire_00004,122.0,7092.0,224.0,215.0,0.0,2092.0,112.0,grass_shrub
fire_00005,98.0,7292.0,11.0,11.0,0.0,11.0,11.0,nonburnable_or_other
fire_00006,144.0,7105.0,240.0,221.0,0.0,2105.0,115.0,shrub
fire_00007,103.0,9829.0,356.0,303.0,0.0,2280.0,125.0,grass
fire_00008,102.0,9301.0,348.0,303.0,0.0,2270.0,124.0,grass
fire_00009,102.0,7987.0,331.0,303.0,0.0,2967.0,123.0,grass
fire_00010,144.0,7105.0,234.0,221.0,0.0,2105.0,113.0,shrub
fire_00011,102.0,9301.0,334.0,302.0,0.0,2270.0,123.0,grass
fire_00012,91.0,7298.0,24.0,24.0,0.0,2904.0,24.0,nonburnable_or_other
fire_00013,145.0,7110.0,252.0,230.0,0.0,2110.0,115.0,shrub
fire_00014,186.0,7960.0,143.0,120.0,45.0,2960.0,104.0,timber_litter
fire_00015,102.0,9301.0,348.0,304.0,0.0,2270.0,124.0,grass
fire_00016,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00017,122.0,7151.0,130.0,111.0,35.0,2151.0,103.0,grass_shrub
fire_00018,122.0,7662.0,352.0,303.0,0.0,2662.0,125.0,grass_shrub
fire_00019,91.0,7296.0,22.0,22.0,0.0,2902.0,22.0,nonburnable_or_other
fire_00020,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00021,102.0,7129.0,338.0,304.0,0.0,2129.0,123.0,grass
fire_00022,121.0,7914.0,17.0,17.0,0.0,2917.0,17.0,grass_shrub
fire_00023,102.0,9301.0,338.0,304.0,0.0,2270.0,123.0,grass
fire_00024,103.0,7105.0,235.0,216.0,0.0,2105.0,115.0,grass
fire_00025,102.0,9301.0,356.0,304.0,0.0,2270.0,125.0,grass
fire_00026,145.0,7110.0,230.0,213.0,0.0,2110.0,113.0,shrub
fire_00027,99.0,9062.0,31.0,31.0,0.0,31.0,31.0,nonburnable_or_other
fire_00028,121.0,9301.0,327.0,303.0,0.0,2270.0,122.0,grass_shrub
fire_00029,102.0,9301.0,339.0,304.0,0.0,2270.0,123.0,grass
fire_00030,145.0,7105.0,245.0,220.0,0.0,2105.0,114.0,shrub
fire_00031,165.0,7028.0,142.0,115.0,45.0,2028.0,104.0,timber_understory
fire_00032,122.0,7014.0,138.0,117.0,35.0,2014.0,103.0,grass_shrub
fire_00033,121.0,7114.0,127.0,109.0,35.0,2114.0,103.0,grass_shrub
fire_00034,186.0,7980.0,144.0,112.0,45.0,2960.0,104.0,timber_litter
fire_00035,102.0,7105.0,221.0,213.0,0.0,2097.0,111.0,grass
fire_00036,102.0,9301.0,332.0,304.0,0.0,2270.0,123.0,grass
fire_00037,102.0,9301.0,349.0,303.0,0.0,2270.0,124.0,grass
fire_00038,122.0,7092.0,246.0,225.0,0.0,2092.0,114.0,grass_shrub
fire_00039,122.0,9829.0,348.0,303.0,0.0,2280.0,124.0,grass_shrub
fire_00040,142.0,7062.0,128.0,103.0,0.0,2062.0,102.0,shrub
fire_00041,145.0,7105.0,250.0,220.0,0.0,2105.0,115.0,shrub
fire_00042,145.0,7105.0,252.0,219.0,0.0,2105.0,115.0,shrub
fire_00043,186.0,7129.0,346.0,303.0,45.0,2264.0,104.0,timber_litter
fire_00044,144.0,7114.0,139.0,123.0,35.0,2114.0,103.0,shrub
fire_00045,122.0,7110.0,242.0,220.0,45.0,2118.0,103.0,grass_shrub
fire_00046,102.0,9301.0,335.0,304.0,0.0,2270.0,123.0,grass
fire_00047,144.0,9337.0,221.0,217.0,0.0,2105.0,113.0,shrub
fire_00048,102.0,9301.0,339.0,304.0,0.0,2270.0,123.0,grass
fire_00049,122.0,7110.0,222.0,208.0,0.0,2110.0,112.0,grass_shrub
fire_00050,102.0,7980.0,134.0,109.0,35.0,2960.0,103.0,grass
fire_00051,122.0,7105.0,221.0,220.0,15.0,2114.0,103.0,grass_shrub
fire_00052,102.0,7082.0,218.0,202.0,0.0,2082.0,111.0,grass
fire_00053,102.0,9301.0,346.0,303.0,0.0,2270.0,124.0,grass
fire_00054,102.0,9301.0,344.0,304.0,0.0,2270.0,124.0,grass
fire_00055,144.0,7114.0,138.0,123.0,35.0,2114.0,103.0,shrub
fire_00056,165.0,7114.0,140.0,118.0,45.0,2114.0,104.0,timber_understory
fire_00057,145.0,7110.0,234.0,215.0,0.0,2110.0,113.0,shrub
fire_00058,145.0,7110.0,250.0,220.0,0.0,2110.0,115.0,shrub
fire_00059,122.0,9301.0,339.0,303.0,35.0,2114.0,103.0,grass_shrub
fire_00060,91.0,7299.0,25.0,25.0,0.0,2905.0,25.0,nonburnable_or_other
fire_00061,102.0,7129.0,331.0,304.0,0.0,2129.0,123.0,grass
fire_00062,91.0,7296.0,22.0,22.0,0.0,2902.0,22.0,nonburnable_or_other
fire_00063,144.0,7114.0,139.0,123.0,35.0,2114.0,103.0,shrub
fire_00064,122.0,9337.0,229.0,211.0,0.0,2270.0,112.0,grass_shrub
fire_00065,102.0,9337.0,222.0,216.0,0.0,2114.0,102.0,grass
