pr (mm),tmmn (K),tmmx (K),rmin (%),rmax (%),vs (m/s),srad (W/m2),bi (-),erc (-),fm100 (%),fm1000 (%),vpd (kPa),pet (mm)
0.0,282.3,301.0,30.6,91.1,2.4,312.0,29.0,39.0,12.9,15.9,1.3,5.2
0.0,284.6,301.9,29.4,79.1,4.3,315.5,38.0,40.0,12.1,15.8,1.48,6.4
0.0,285.6,304.8,21.0,63.9,5.0,311.9,44.0,44.0,10.7,15.5,2.05,7.8
0.0,283.7,304.2,26.3,86.8,2.8,302.8,33.0,43.0,10.9,15.1,1.69,5.9
0.0,282.8,302.0,28.0,85.8,3.2,332.0,35.0,44.0,11.1,14.7,1.46,6.1
0.0,283.6,302.3,25.5,75.8,2.3,313.8,32.0,46.0,10.6,14.5,1.61,5.6
0.0,285.5,305.1,27.2,83.7,3.0,326.4,35.0,46.0,10.6,14.3,1.78,6.5
0.0,283.7,300.7,36.2,95.6,3.2,291.6,34.0,43.0,11.8,14.3,1.15,5.2
0.0,281.5,299.7,30.6,88.2,3.8,327.8,38.0,44.0,11.9,14.3,1.22,5.8
0.0,282.4,300.0,23.4,65.2,2.6,333.1,34.0,47.0,10.6,14.1,1.51,5.8
0.0,280.8,293.6,49.4,100.0,4.1,247.0,35.0,40.0,12.6,14.1,0.56,3.7
0.0,278.6,297.5,24.4,75.7,2.5,237.8,32.0,46.0,11.6,13.7,1.22,4.5
0.0,278.9,300.5,18.8,69.8,2.1,327.9,33.0,50.0,10.4,13.5,1.57,5.5
0.0,281.0,300.6,21.0,67.0,2.8,337.2,37.0,51.0,9.6,13.3,1.58,6.0
0.0,282.2,302.1,19.1,61.8,5.0,352.0,50.0,53.0,8.9,13.0,1.79,7.8
0.0,283.8,306.4,13.6,52.1,4.2,339.7,49.0,56.0,8.0,12.7,2.46,8.4
0.0,285.1,307.7,15.1,56.6,2.6,333.3,40.0,58.0,7.4,12.5,2.57,7.1
0.0,284.3,305.3,18.7,63.7,2.6,335.4,40.0,59.0,7.3,12.0,2.13,6.7
0.0,283.2,299.8,26.2,67.8,3.3,262.8,42.0,57.0,7.7,11.7,1.44,5.5
7.3,282.5,291.4,52.0,82.1,4.9,150.4,0.0,34.0,11.6,12.6,0.57,3.2
4.5,282.4,291.4,59.2,93.9,4.2,196.0,0.0,30.0,14.1,13.2,0.43,3.0
1.5,281.8,289.7,60.3,89.2,3.8,233.5,0.0,28.0,14.8,13.5,0.4,3.2
0.3,282.4,293.3,48.5,87.2,2.2,202.9,27.0,39.0,14.5,13.7,0.64,3.3
0.0,282.7,298.9,32.5,81.8,3.2,330.2,35.0,43.0,13.3,13.7,1.18,5.6
4.8,285.3,297.6,37.6,73.0,3.6,197.8,0.0,30.0,13.9,14.0,1.1,4.5
11.2,283.5,294.3,54.4,96.5,5.1,233.9,0.0,23.0,17.5,15.3,0.55,3.8
0.9,280.9,291.7,50.6,90.8,5.2,232.8,0.0,23.0,16.8,15.3,0.54,3.7
0.0,280.5,295.5,37.7,89.2,2.7,350.8,29.0,37.0,15.5,15.2,0.86,5.0
0.0,281.2,296.9,33.3,82.2,1.7,355.8,26.0,39.0,14.1,15.0,1.03,5.1
0.0,282.4,300.6,25.9,74.4,2.5,357.8,31.0,42.0,12.5,14.9,1.46,6.0
