,tmmx_F_7d_mean,tmmn_F_7d_mean,vpd_kPa_7d_mean,vs_m_s_7d_mean,rmin_pct_7d_mean,pr_mm_30d_sum,erc_7d_mean,bi_7d_mean,fm100_pct_7d_mean,fm1000_pct_30d_mean,elevation,slope_degrees,aspect_degrees,northness,eastness
tmmx_F_7d_mean,1.0,0.8132253100540716,0.8951651426245454,-0.17247210902150273,-0.509785618281864,-0.31606251450004114,0.5375273058537597,0.44384340821705837,-0.549460640297715,-0.4241356715067763,-0.19909369508158115,-0.14187678350801755,-0.045614777255371546,0.021525760355311712,0.02637862397847716
tmmn_F_7d_mean,0.8132253100540716,1.0,0.7795409959133758,-0.17352990854839928,-0.2729198487915921,-0.2835887565041637,0.532407596864541,0.4184107608602207,-0.5153027459372944,-0.46479401792399655,-0.16149114090817904,-0.014962177949126267,-0.03374662708187141,0.0005813841168237286,0.020042508212878212
vpd_kPa_7d_mean,0.8951651426245454,0.7795409959133758,1.0,-0.16663608095920737,-0.717711226891274,-0.28184376808525974,0.7627026135490848,0.6401944673478599,-0.7644010046922831,-0.6126265133537505,-0.029398231591719944,-0.055213974476645694,-0.06070518292192894,0.029651973480930672,0.047555635045098646
vs_m_s_7d_mean,-0.17247210902150273,-0.17352990854839928,-0.16663608095920737,1.0,0.11552950184930272,0.04417175111597022,-0.14955075801461212,0.3042614895041281,0.13745388312752832,0.15804382711203377,-0.14115622789265903,-0.054283822910472845,-0.11378450503396896,0.009987016121636032,0.07884280335007904
rmin_pct_7d_mean,-0.509785618281864,-0.2729198487915921,-0.717711226891274,0.11552950184930272,1.0,0.26611629284739874,-0.8074341580094039,-0.7181891913199555,0.8392888863912373,0.6335816773645233,-0.23140800081705928,-0.02963744521810877,0.056967876725473536,-0.01959749898604522,-0.05334558568645992
pr_mm_30d_sum,-0.31606251450004114,-0.2835887565041637,-0.28184376808525974,0.04417175111597022,0.26611629284739874,1.0,-0.39029675170861544,-0.36364883145647403,0.3074179657099691,0.42455280659274736,0.03922480712071084,0.02934722816502944,0.007874666677416505,-0.033974922225755856,-0.008833565948355222
erc_7d_mean,0.5375273058537597,0.532407596864541,0.7627026135490848,-0.14955075801461212,-0.8074341580094039,-0.39029675170861544,1.0,0.8502628101501143,-0.9448051792801453,-0.8998506028426777,0.2839961916468454,0.1178985545504695,-0.060984401532446296,0.021187121294344732,0.06277786050705993
bi_7d_mean,0.44384340821705837,0.4184107608602207,0.6401944673478599,0.3042614895041281,-0.7181891913199555,-0.36364883145647403,0.8502628101501143,1.0,-0.7965778126496018,-0.7090056738349771,0.17180072069833158,0.037175373100497185,-0.10431284545299532,0.021086942016282258,0.078913357414795
fm100_pct_7d_mean,-0.549460640297715,-0.5153027459372944,-0.7644010046922831,0.13745388312752832,0.8392888863912373,0.3074179657099691,-0.9448051792801453,-0.7965778126496018,1.0,0.7529906362228618,-0.27863426388524404,-0.11780774011472081,0.05194484655529996,-0.016820780630857523,-0.049911848320128196
fm1000_pct_30d_mean,-0.4241356715067763,-0.46479401792399655,-0.6126265133537505,0.15804382711203377,0.6335816773645233,0.42455280659274736,-0.8998506028426777,-0.7090056738349771,0.7529906362228618,1.0,-0.26484105336760544,-0.12894898212515965,0.06329060237595632,-0.016611262178284472,-0.08173168722996454
elevation,-0.19909369508158115,-0.16149114090817904,-0.029398231591719944,-0.14115622789265903,-0.23140800081705928,0.03922480712071084,0.2839961916468454,0.17180072069833158,-0.27863426388524404,-0.26484105336760544,1.0,0.41879514379425764,-0.00048096274901785006,0.02230564563423275,0.040907641197371544
slope_degrees,-0.14187678350801755,-0.014962177949126267,-0.055213974476645694,-0.054283822910472845,-0.02963744521810877,0.02934722816502944,0.1178985545504695,0.037175373100497185,-0.11780774011472081,-0.12894898212515965,0.41879514379425764,1.0,0.03267553227359651,-0.005292644929948791,-0.031761388791598635
aspect_degrees,-0.045614777255371546,-0.03374662708187141,-0.06070518292192894,-0.11378450503396896,0.056967876725473536,0.007874666677416505,-0.060984401532446296,-0.10431284545299532,0.05194484655529996,0.06329060237595632,-0.00048096274901785006,0.03267553227359651,1.0,-0.09216666446650124,-0.8055651431483339
northness,0.021525760355311712,0.0005813841168237286,0.029651973480930672,0.009987016121636032,-0.01959749898604522,-0.033974922225755856,0.021187121294344732,0.021086942016282258,-0.016820780630857523,-0.016611262178284472,0.02230564563423275,-0.005292644929948791,-0.09216666446650124,1.0,0.09602616375211392
eastness,0.02637862397847716,0.020042508212878212,0.047555635045098646,0.07884280335007904,-0.05334558568645992,-0.008833565948355222,0.06277786050705993,0.078913357414795,-0.049911848320128196,-0.08173168722996454,0.040907641197371544,-0.031761388791598635,-0.8055651431483339,0.09602616375211392,1.0
