,missing_fraction,missing_count
usdm_missing_reason,0.9958281184814352,2387
usdm_category,0.5252398831873175,1259
is_severe_D2_plus,0.004171881518564873,10
is_drought_D1_plus,0.004171881518564873,10
usdm_intensity,0.004171881518564873,10
is_extreme_D3_plus,0.004171881518564873,10
is_abnormally_dry_D0_plus,0.004171881518564873,10
evc_code,0.0037546933667083854,9
n_days_7d,0.0,0
pr_mm_7d_mean,0.0,0
pr_mm_7d_min,0.0,0
pr_mm_7d_max,0.0,0
pr_mm_7d_sum,0.0,0
Longitude,0.0,0
AcresBurned,0.0,0
gridmet_rows_available,0.0,0
tmmn_K_7d_sum,0.0,0
tmmx_K_7d_mean,0.0,0
tmmx_K_7d_min,0.0,0
tmmx_K_7d_max,0.0,0
tmmx_K_7d_sum,0.0,0
rmin_pct_7d_mean,0.0,0
rmin_pct_7d_min,0.0,0
rmin_pct_7d_max,0.0,0
rmin_pct_7d_sum,0.0,0
rmax_pct_7d_mean,0.0,0
rmax_pct_7d_min,0.0,0
rmax_pct_7d_max,0.0,0
rmax_pct_7d_sum,0.0,0
tmmn_K_7d_mean,0.0,0
tmmn_K_7d_min,0.0,0
tmmn_K_7d_max,0.0,0
vs_m_s_7d_sum,0.0,0
srad_W_m2_7d_mean,0.0,0
srad_W_m2_7d_min,0.0,0
srad_W_m2_7d_max,0.0,0
srad_W_m2_7d_sum,0.0,0
bi_7d_mean,0.0,0
bi_7d_min,0.0,0
bi_7d_max,0.0,0
bi_7d_sum,0.0,0
erc_7d_mean,0.0,0
erc_7d_min,0.0,0
erc_7d_max,0.0,0
erc_7d_sum,0.0,0
fm100_pct_7d_mean,0.0,0
fm100_pct_7d_min,0.0,0
fm100_pct_7d_max,0.0,0
fm100_pct_7d_sum,0.0,0
fm1000_pct_7d_mean,0.0,0
fm1000_pct_7d_min,0.0,0
fm1000_pct_7d_max,0.0,0
fm1000_pct_7d_sum,0.0,0
vpd_kPa_7d_mean,0.0,0
vpd_kPa_7d_min,0.0,0
vpd_kPa_7d_max,0.0,0
vpd_kPa_7d_sum,0.0,0
pet_mm_7d_mean,0.0,0
pet_mm_7d_min,0.0,0
pet_mm_7d_max,0.0,0
pet_mm_7d_sum,0.0,0
vs_m_s_7d_mean,0.0,0
vs_m_s_7d_min,0.0,0
vs_m_s_7d_max,0.0,0
gridmet_id,0.0,0
UniqueId,0.0,0
Name,0.0,0
StartedDateOnly,0.0,0
Latitude,0.0,0
tmmn_K_14d_max,0.0,0
tmmn_K_14d_min,0.0,0
tmmn_K_14d_mean,0.0,0
pr_mm_14d_sum,0.0,0
pr_mm_14d_max,0.0,0
pr_mm_14d_min,0.0,0
pr_mm_14d_mean,0.0,0
n_days_14d,0.0,0
tmmn_K_14d_sum,0.0,0
tmmx_K_14d_mean,0.0,0
tmmx_K_14d_min,0.0,0
tmmx_K_14d_max,0.0,0
tmmx_K_14d_sum,0.0,0
rmin_pct_14d_mean,0.0,0
rmin_pct_14d_min,0.0,0
rmin_pct_14d_max,0.0,0
vs_m_s_14d_sum,0.0,0
srad_W_m2_14d_mean,0.0,0
srad_W_m2_14d_min,0.0,0
srad_W_m2_14d_max,0.0,0
srad_W_m2_14d_sum,0.0,0
bi_14d_mean,0.0,0
bi_14d_min,0.0,0
bi_14d_max,0.0,0
rmin_pct_14d_sum,0.0,0
rmax_pct_14d_mean,0.0,0
rmax_pct_14d_min,0.0,0
rmax_pct_14d_max,0.0,0
rmax_pct_14d_sum,0.0,0
vs_m_s_14d_mean,0.0,0
vs_m_s_14d_min,0.0,0
vs_m_s_14d_max,0.0,0
fm100_pct_14d_sum,0.0,0
fm1000_pct_14d_mean,0.0,0
fm1000_pct_14d_min,0.0,0
fm1000_pct_14d_max,0.0,0
fm1000_pct_14d_sum,0.0,0
vpd_kPa_14d_mean,0.0,0
vpd_kPa_14d_min,0.0,0
vpd_kPa_14d_max,0.0,0
vpd_kPa_14d_sum,0.0,0
pet_mm_14d_mean,0.0,0
pet_mm_14d_min,0.0,0
pet_mm_14d_max,0.0,0
pet_mm_14d_sum,0.0,0
n_days_30d,0.0,0
pr_mm_30d_mean,0.0,0
pr_mm_30d_min,0.0,0
pr_mm_30d_max,0.0,0
pr_mm_30d_sum,0.0,0
tmmn_K_30d_mean,0.0,0
tmmn_K_30d_min,0.0,0
tmmn_K_30d_max,0.0,0
tmmn_K_30d_sum,0.0,0
tmmx_K_30d_mean,0.0,0
tmmx_K_30d_min,0.0,0
bi_14d_sum,0.0,0
erc_14d_mean,0.0,0
erc_14d_min,0.0,0
erc_14d_max,0.0,0
erc_14d_sum,0.0,0
fm100_pct_14d_mean,0.0,0
fm100_pct_14d_min,0.0,0
fm100_pct_14d_max,0.0,0
rmax_pct_30d_min,0.0,0
rmax_pct_30d_mean,0.0,0
rmin_pct_30d_sum,0.0,0
rmin_pct_30d_max,0.0,0
rmin_pct_30d_min,0.0,0
rmin_pct_30d_mean,0.0,0
tmmx_K_30d_sum,0.0,0
tmmx_K_30d_max,0.0,0
rmax_pct_30d_max,0.0,0
rmax_pct_30d_sum,0.0,0
vs_m_s_30d_mean,0.0,0
vs_m_s_30d_min,0.0,0
vs_m_s_30d_max,0.0,0
vs_m_s_30d_sum,0.0,0
srad_W_m2_30d_mean,0.0,0
srad_W_m2_30d_min,0.0,0
erc_30d_max,0.0,0
erc_30d_sum,0.0,0
fm100_pct_30d_mean,0.0,0
fm100_pct_30d_min,0.0,0
fm100_pct_30d_max,0.0,0
fm100_pct_30d_sum,0.0,0
fm1000_pct_30d_mean,0.0,0
fm1000_pct_30d_min,0.0,0
srad_W_m2_30d_max,0.0,0
srad_W_m2_30d_sum,0.0,0
bi_30d_mean,0.0,0
bi_30d_min,0.0,0
bi_30d_max,0.0,0
bi_30d_sum,0.0,0
erc_30d_mean,0.0,0
erc_30d_min,0.0,0
pet_mm_30d_min,0.0,0
pet_mm_30d_mean,0.0,0
vpd_kPa_30d_sum,0.0,0
vpd_kPa_30d_max,0.0,0
vpd_kPa_30d_min,0.0,0
vpd_kPa_30d_mean,0.0,0
fm1000_pct_30d_sum,0.0,0
fm1000_pct_30d_max,0.0,0
pet_mm_30d_max,0.0,0
pet_mm_30d_sum,0.0,0
fire_start_date,0.0,0
log_acres,0.0,0
year,0.0,0
month,0.0,0
nwcg_size_class,0.0,0
severity_tier,0.0,0
usdm_week_str,0.0,0
usdm_week,0.0,0
eastness,0.0,0
northness,0.0,0
aspect_degrees,0.0,0
slope_degrees,0.0,0
elevation,0.0,0
size_tier,0.0,0
usdm_raw,0.0,0
fbfm40_code,0.0,0
evt_code,0.0,0
evh_code,0.0,0
canopy_cover,0.0,0
fvt_code,0.0,0
fvc_code,0.0,0
fbfm40_group,0.0,0
