feature,importance
num__elevation,0.10402798814942042
num__rmin_pct_7d_mean,0.0753284999801737
num__Longitude,0.07364988252794427
num__Latitude,0.06603056655674978
num__fm1000_pct_30d_mean,0.06436584354491769
num__slope_degrees,0.06405274532331805
num__fm100_pct_7d_mean,0.06350741138631016
num__erc_7d_mean,0.05450689160947191
num__eastness,0.05379773148053694
num__vs_m_s_7d_mean,0.05193001305666155
num__bi_7d_mean,0.051788173793284265
num__tmmn_F_7d_mean,0.05161335830861203
num__northness,0.05060924416177467
num__tmmx_F_7d_mean,0.04838933653678376
num__vpd_kPa_7d_mean,0.04735184230809002
num__pr_mm_30d_sum,0.03129585683570209
num__month,0.022459934897173538
num__usdm_intensity,0.00941778114660709
num__is_abnormally_dry_D0_plus,0.005172525255875151
num__is_drought_D1_plus,0.004357787729582746
num__is_severe_D2_plus,0.0035207818858298437
num__is_extreme_D3_plus,0.0028258035251802144
