feature,importance
num__elevation,0.07426175540526679
num__Longitude,0.06651016355541943
num__Latitude,0.06326892361666245
num__fm1000_pct_30d_mean,0.05396315870778634
num__rmin_pct_7d_mean,0.05119707170639128
num__vs_m_s_7d_mean,0.050653199490303176
num__erc_7d_mean,0.047892904027541594
num__fm100_pct_7d_mean,0.04763173650316524
num__slope_degrees,0.04737431082982254
num__tmmn_F_7d_mean,0.04724982369844512
num__tmmx_F_7d_mean,0.04626408651939168
num__eastness,0.04508850411979421
num__bi_7d_mean,0.044845982969283736
num__vpd_kPa_7d_mean,0.044808587874321876
num__evc_code,0.04447279252171616
num__northness,0.043215846303340535
num__evh_code,0.0404996555338498
num__pr_mm_30d_sum,0.029164483893259083
num__fvc_code,0.02864334632919521
num__month,0.02603361708583997
num__usdm_intensity,0.009726149450144208
num__canopy_cover,0.007421592109474012
num__is_abnormally_dry_D0_plus,0.006581559177528168
num__is_drought_D1_plus,0.005381753110728074
cat__fbfm40_group_grass,0.0051226401858423375
cat__fbfm40_group_grass_shrub,0.004706584486847099
num__is_severe_D2_plus,0.0037407372343572338
num__has_canopy_cover,0.003114828070236926
cat__fbfm40_group_shrub,0.0029605234373458193
num__is_extreme_D3_plus,0.0023247296551613286
cat__fbfm40_group_nonburnable_or_other,0.0022795996885551163
cat__fbfm40_group_timber_understory,0.0018040016657359704
cat__fbfm40_group_timber_litter,0.0017953510372474635
