task,model,feature_set,accuracy,balanced_accuracy,macro_f1,weighted_f1,large_extreme_recall
multiclass,Random Forest,gridmet_terrain_drought_landfire,0.4965116279069767,0.35430855127350747,0.33533066892408875,0.5223302951773725,0.4044943820224719
multiclass,Random Forest,gridmet_terrain_drought,0.4755813953488372,0.3614293299524839,0.3325359753467287,0.5058659140270758,0.42696629213483145
multiclass,Random Forest,gridmet_terrain,0.47325581395348837,0.34740720272635167,0.32335299191068834,0.5027014761345607,0.39325842696629215
multiclass,Random Forest,gridmet_terrain_drought_landfire_expanded_codes,0.46511627906976744,0.34424022994110604,0.3133306803074714,0.49876215024112613,0.47191011235955055
multiclass,XGBoost,gridmet_terrain_drought_landfire_expanded_codes,0.436046511627907,0.3329181769419567,0.30106303903438203,0.48098339874665874,0.5393258426966292
multiclass,XGBoost,gridmet_terrain_drought,0.42790697674418604,0.33191611267330917,0.2965415597707275,0.4706602610460752,0.5280898876404494
multiclass,XGBoost,gridmet_terrain_drought_landfire,0.4290697674418605,0.3247376319967058,0.29606587399406525,0.4698367354276574,0.5168539325842697
multiclass,XGBoost,gridmet_terrain,0.42674418604651165,0.32425082218574086,0.2924168812117701,0.4717625016443082,0.5280898876404494
multiclass,Logistic Regression,gridmet_terrain_drought_landfire_expanded_codes,0.34651162790697676,0.32699464698838915,0.2650561650187392,0.39206354731188864,0.5280898876404494
multiclass,Logistic Regression,gridmet_terrain_drought_landfire,0.336046511627907,0.31799327080929085,0.2583015114194111,0.3895775069938826,0.6404494382022472
multiclass,Logistic Regression,gridmet_terrain,0.3174418604651163,0.3194188894126316,0.24705930891961841,0.36858639875534654,0.651685393258427
multiclass,Logistic Regression,gridmet_terrain_drought,0.3081395348837209,0.29829589476022517,0.24022025481128223,0.3593837292157275,0.6179775280898876
multiclass,Majority baseline,none,0.6523255813953488,0.25,0.19739619985925405,0.5150663633536815,0.0
